id,message_main_attachment_id,name,sequence,description,description_purchase,description_sale,detailed_type,type,categ_id,list_price,volume,weight,sale_ok,purchase_ok,uom_id,uom_po_id,company_id,active,color,default_code,can_image_1024_be_zoomed,has_configurable_attributes,priority,create_uid,create_date,write_uid,write_date,service_type,sale_line_warn,sale_line_warn_msg,expense_policy,invoice_policy,sale_delay,tracking,description_picking,description_pickingout,description_pickingin,purchase_method,purchase_line_warn,purchase_line_warn_msg,service_to_purchase,can_be_expensed,available_in_pos,to_weight,pos_categ_id,service_tracking,cartona_id,landed_cost_ok,split_method_landed_cost
431667,,"California Garden Egyptian beans, shrink wrap, 2 pieces, 400 grams, 15%",1,<p><br></p>,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-06-22 20:33:36.054180,20,2025-06-22 20:34:32.608075,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,,false,false,,no,,false,
431666,,California Garden Beans with Tahini Shrink 2 pieces 400 grams 15%,1,<p><br></p>,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-06-22 20:30:04.487780,20,2025-06-22 20:30:04.487780,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,,false,false,,no,,false,
431665,,ماكسي الاصلي مشروب غازي بطعم الليمون النعناع - 400 مل,1,<p><br></p>,46147,ماكسي,product,product,117,1,0,0,true,true,511,511,,true,0,62401,false,false,0,35,2025-06-22 09:06:55.042170,57,2025-06-22 10:12:57.454035,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,false,false,,no,62401,false,
431664,,الخير ملح طعام 2 ج + 1 كيس هدية - 250 جم,1,<p><br></p>,40491,الخير,product,product,128,1.55295,0,0,true,true,511,511,,true,0,65523,false,false,0,35,2025-06-16 09:55:10.730535,35,2025-06-17 21:44:42.485717,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,true,false,,no,65523,false,
431663,,لوكس صابون بشرة نضرة برائحة الورد - 165 جم,1,<p><br></p>,24116,لوكس,product,product,23,24.21458,0,0,true,true,511,511,,true,0,64168,false,false,0,35,2025-06-16 09:30:33.807656,35,2025-06-18 10:54:29.256313,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,true,false,,no,64168,false,
431662,,اوكسي سائل تنظيف الاطباق برائحة اليوسفي - 2.5 لتر,1,<p><br></p>,50498,اوكسي,product,product,17,72.3,0,0,true,true,511,511,,true,0,65533,false,false,0,35,2025-06-16 09:27:27.008821,35,2025-06-18 10:54:29.256313,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,true,false,,no,65533,false,
431661,,ريفولي صابون يد مسك الروم والفانيليا - 110 جم,1,<p><br></p>,41677,ريفولي,product,product,23,11.38333,0,0,true,true,511,511,,true,0,64171,false,false,0,35,2025-06-16 09:26:52.817791,35,2025-06-18 10:54:29.256313,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,true,false,,no,64171,false,
431660,,اوكسي جل برائحة نسيم الشرق - 900 مل,1,<p><br></p>,30152,اوكسي,product,product,24,64.81,0,0,true,true,511,511,,true,0,65531,false,false,0,35,2025-06-16 09:25:40.286838,35,2025-06-18 10:54:29.256313,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,true,false,,no,65531,false,
431659,,ريفولي صابون يد العود العربي - 110 جم,1,<p><br></p>,41677,ريفولي,product,product,23,11.31936,0,0,true,true,511,511,,true,0,65532,false,false,0,35,2025-06-16 09:23:41.354502,35,2025-06-18 10:54:29.256313,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,false,true,false,,no,65532,false,
431657,,شويبس مشروب شعير رمان - 1 لتر,1,,,,consu,consu,1,0,0,0,true,true,1,1,,true,,,false,false,0,50,2025-06-10 12:01:23.370228,50,2025-06-10 12:01:23.370228,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431656,,Sunshine Express Chili Cut,1,<p><br></p>,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 22:26:48.363710,20,2025-05-28 22:26:48.363710,manual,no-message,,no,order,0,none,,,,receive,no-message,,false,,false,false,,no,,false,
431655,,"California Garden Red Kidney Beans, 400g",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431654,,California Garden chickpeas - 400 Grams,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431653,,"California Garden Plain Fave Bean Peeled With Chili, 400gm",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431652,,"Americana Fava Beans with Oil, Lemon and Cumin ,shrink 2 pieces, 400 grams , 15%",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431651,,"Americana Alexandrian Fava Beans with Tahini, shrink 2 pieces, 400 grams, 15%",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431650,,Altahya Basmati Rice 2 kg,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431649,,Al Tahya Fava Beans Plain 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431648,,Americana Fava Beans With Olive Oil & Chick Peas 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431647,,Americana Peeled Fava Beans With Oil & Tomato - 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431646,,Americana Iskandarany Fava Beans With Tahini - 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431645,,Mushrooms Whole 400gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431644,,Al Tahya Fava With Chickpeas 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431643,,Al Tahya Fava Beans Spicy 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431642,,AMC White Beans 400g,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431641,,Al Tahya Mushroom slices 400g,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431640,,California Garden Plain Saudi Koshina Beans 400 gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431639,,Mushrooms Whole 800gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431638,,Al Tahya Basmatic rice 1KG,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431637,,Al Tahya Fava Beans with Cumin 400gm - Easy open,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431636,,Americana Tuna Flakes in vegetable oil with brine 140 gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431635,,Al Tahya Whole Kernel Corn 340 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431634,,"Americana cooked peas, 400 gm",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431633,,American Foul Medammes With Olive Oil 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431632,,"Americana plain foul ,shrink 2 pieces, 400 grams 20% off",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431631,,California Garden Canned Peeled Fava Beans Egyptian Recipe 450g,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431630,,California Garden Mashed fava beans 400g,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431629,,California Garden sugary corn 330 grams,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431628,,Americana sugary corn 400 grams,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431627,,California Garden Hummus with tahini - 330 grams,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431626,,"California Garden Egyptian Recipe Fava Beans with Cumin and Lemon, 400 gms",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431625,,"Americana Fava Beans with Oil, Lemon and Cumin - 400 Gm",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431624,,Americana Fava Beans Original Taste 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431623,,"California Garden Plain Medames Beans, 400gm",1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431622,,California Garden Secret Mix Peeled Beans,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431621,,California Garden Fava Beans with Lebanese Recipe - 400 gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431620,,Americana Chick Peas - 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431619,,Americana Fava Beans With Tomato Sauce - 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431618,,Americana Peeled Fava Beans With Chili - 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
431617,,Americana Red Kidney Peas - 400 Gm,1,,,,consu,consu,1,1,0,0,true,true,1,1,,true,,,false,false,0,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,manual,no-message,,no,order,0,none,,,,receive,no-message,,,,false,,,no,,,
