id,order_id,name,sequence,invoice_status,price_unit,price_subtotal,price_tax,price_total,price_reduce,price_reduce_taxinc,price_reduce_taxexcl,discount,product_id,product_uom_qty,product_uom,qty_delivered_method,qty_delivered,qty_delivered_manual,qty_to_invoice,qty_invoiced,untaxed_amount_invoiced,untaxed_amount_to_invoice,salesman_id,currency_id,company_id,order_partner_id,is_expense,is_downpayment,state,customer_lead,display_type,product_packaging_id,product_packaging_qty,create_uid,create_date,write_uid,write_date,route_id,is_service,project_id,task_id,cartona_uom,uom_count
2364458,2441430,order_fees,10,to invoice,61.22,61.22,8.5708,69.79,61.22,69.79,61.22,0,46,1,1,manual,0,0,1,0,0,61.22,2,74,1,115225,,,sale,0,,,,2,2025-06-23 10:04:51.803049,2,2025-06-23 10:04:51.803049,,true,,,,
2364457,2441429,penalty,10,to invoice,5.06,5.06,0.7084,5.77,5.06,5.77,5.06,0,47,1,1,manual,0,0,1,0,0,5.06,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:03:15.098333,2,2025-06-23 10:03:15.098333,,true,,,,
2364456,2441428,penalty,10,to invoice,7.24,7.24,1.0136,8.25,7.24,8.25,7.24,0,47,1,1,manual,0,0,1,0,0,7.24,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:02:59.523274,2,2025-06-23 10:02:59.523274,,true,,,,
2364455,2441427,penalty,10,to invoice,9.13,9.13,1.2782,10.41,9.13,10.41,9.13,0,47,1,1,manual,0,0,1,0,0,9.13,2,74,1,194059,,,sale,0,,,,2,2025-06-23 10:02:41.458508,2,2025-06-23 10:02:41.458508,,true,,,,
2364454,2441426,order_fees,10,to invoice,79.25,79.25,11.095,90.35,79.25,90.35,79.25,0,46,1,1,manual,0,0,1,0,0,79.25,2,74,1,129580,,,sale,0,,,,2,2025-06-23 10:02:40.374836,2,2025-06-23 10:02:40.374836,,true,,,,
2364453,2441425,order_fees,10,to invoice,91.25,91.25,12.775,104.03,91.25,104.03,91.25,0,46,1,1,manual,0,0,1,0,0,91.25,2,74,1,194059,,,sale,0,,,,2,2025-06-23 10:02:39.268572,2,2025-06-23 10:02:39.268572,,true,,,,
2364452,2441424,order_fees,10,to invoice,101.4,101.4,14.196000000000002,115.6,101.4,115.6,101.4,0,46,1,1,manual,0,0,1,0,0,101.4,2,74,1,5314,,,sale,0,,,,2,2025-06-23 10:02:20.558737,2,2025-06-23 10:02:20.558737,,true,,,,
2364451,2441423,order_fees,10,to invoice,304.76,304.76,42.6664,347.43,304.76,347.43,304.76,0,46,1,1,manual,0,0,1,0,0,304.76,2,74,1,129580,,,sale,0,,,,2,2025-06-23 10:02:17.928631,2,2025-06-23 10:02:17.928631,,true,,,,
2364450,2441422,penalty,10,to invoice,5.06,5.06,0.7084,5.77,5.06,5.77,5.06,0,47,1,1,manual,0,0,1,0,0,5.06,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:01:58.743708,2,2025-06-23 10:01:58.743708,,true,,,,
2364449,2441421,order_fees,10,to invoice,59.79,59.79,8.370600000000001,68.16,59.79,68.16,59.79,0,46,1,1,manual,0,0,1,0,0,59.79,2,74,1,129580,,,sale,0,,,,2,2025-06-23 10:01:57.388780,2,2025-06-23 10:01:57.388780,,true,,,,
2364448,2441420,penalty,10,to invoice,7,7,0.9800000000000001,7.98,7,7.98,7,0,47,1,1,manual,0,0,1,0,0,7,2,74,1,3109,,,sale,0,,,,2,2025-06-23 10:01:49.534916,2,2025-06-23 10:01:49.534916,,true,,,,
2364447,2441419,penalty,10,to invoice,50.83,50.83,7.116200000000001,57.95,50.83,57.95,50.83,0,47,1,1,manual,0,0,1,0,0,50.83,2,74,1,3109,,,sale,0,,,,2,2025-06-23 10:01:47.020528,2,2025-06-23 10:01:47.020528,,true,,,,
2364446,2441418,order_fees,10,to invoice,127.08,127.08,17.7912,144.87,127.08,144.87,127.08,0,46,1,1,manual,0,0,1,0,0,127.08,2,74,1,3109,,,sale,0,,,,2,2025-06-23 10:01:45.926579,2,2025-06-23 10:01:45.926579,,true,,,,
2364445,2441417,penalty,10,to invoice,6.45,6.45,0.903,7.35,6.45,7.35,6.45,0,47,1,1,manual,0,0,1,0,0,6.45,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:01:18.964662,2,2025-06-23 10:01:18.964662,,true,,,,
2364444,2441416,order_fees,10,to invoice,75.69,75.69,10.5966,86.29,75.69,86.29,75.69,0,46,1,1,manual,0,0,1,0,0,75.69,2,74,1,222961,,,sale,0,,,,2,2025-06-23 10:01:12.872875,2,2025-06-23 10:01:12.872875,,true,,,,
2364443,2441415,penalty,10,to invoice,47.41,47.41,6.6374,54.05,47.41,54.05,47.41,0,47,1,1,manual,0,0,1,0,0,47.41,2,74,1,5306,,,sale,0,,,,2,2025-06-23 10:01:08.216605,2,2025-06-23 10:01:08.216605,,true,,,,
2364442,2441414,order_fees,10,to invoice,118.53,118.53,16.5942,135.12,118.53,135.12,118.53,0,46,1,1,manual,0,0,1,0,0,118.53,2,74,1,5306,,,sale,0,,,,2,2025-06-23 10:01:07.116682,2,2025-06-23 10:01:07.116682,,true,,,,
2364441,2441413,order_fees,10,to invoice,36.83,36.83,5.1562,41.99,36.83,41.99,36.83,0,46,1,1,manual,0,0,1,0,0,36.83,2,74,1,3311,,,sale,0,,,,2,2025-06-23 10:01:01.872727,2,2025-06-23 10:01:01.872727,,true,,,,
2364440,2441412,penalty,10,to invoice,3.77,3.77,0.5278,4.3,3.77,4.3,3.77,0,47,1,1,manual,0,0,1,0,0,3.77,2,74,1,3311,,,sale,0,,,,2,2025-06-23 10:00:58.704479,2,2025-06-23 10:00:58.704479,,true,,,,
2364439,2441411,penalty,10,to invoice,42.49,42.49,5.948600000000001,48.44,42.49,48.44,42.49,0,47,1,1,manual,0,0,1,0,0,42.49,2,74,1,3109,,,sale,0,,,,2,2025-06-23 09:58:34.268472,2,2025-06-23 09:58:34.268472,,true,,,,
2364438,2441410,order_fees,10,to invoice,106.22,106.22,14.870800000000001,121.09,106.22,121.09,106.22,0,46,1,1,manual,0,0,1,0,0,106.22,2,74,1,3109,,,sale,0,,,,2,2025-06-23 09:58:31.672380,2,2025-06-23 09:58:31.672380,,true,,,,
2364437,2441409,Order Fees Installment,10,to invoice,39.65,39.65,5.551,45.2,39.65,45.2,39.65,0,106,1,1,manual,0,0,1,0,0,39.65,2,74,1,4806,,,sale,0,,,,2,2025-06-23 09:57:30.552870,2,2025-06-23 09:57:30.552870,,true,,,,
2364436,2441408,delivery_fee_back_margin,10,to invoice,44.49,44.49,6.2286,50.72,44.49,50.72,44.49,0,427434,1,1,manual,0,0,1,0,0,44.49,2,74,1,203254,,,sale,0,,,,2,2025-06-23 09:57:22.224653,2,2025-06-23 09:57:22.224653,,true,,,,
2364435,2441407,order_fees,10,to invoice,44.49,44.49,6.2286,50.72,44.49,50.72,44.49,0,46,1,1,manual,0,0,1,0,0,44.49,2,74,1,203254,,,sale,0,,,,2,2025-06-23 09:57:21.243833,2,2025-06-23 09:57:21.243833,,true,,,,
2364434,2441406,order_fees,10,to invoice,87.56,87.56,12.258400000000002,99.82,87.56,99.82,87.56,0,46,1,1,manual,0,0,1,0,0,87.56,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:57:17.846465,2,2025-06-23 09:57:17.846465,,true,,,,
2364433,2441405,penalty,10,to invoice,9.9,9.9,1.3860000000000001,11.29,9.9,11.29,9.9,0,47,1,1,manual,0,0,1,0,0,9.9,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:57:07.354827,2,2025-06-23 09:57:07.354827,,true,,,,
2364432,2441404,order_fees,10,to invoice,49.63,49.63,6.948200000000001,56.58,49.63,56.58,49.63,0,46,1,1,manual,0,0,1,0,0,49.63,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:57:05.056838,2,2025-06-23 09:57:05.056838,,true,,,,
2364431,2441403,front_margin,10,to invoice,8.77,8.77,1.2278,10,8.77,10,8.77,0,120,1,1,manual,0,0,1,0,0,8.77,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:57:02.874397,2,2025-06-23 09:57:02.874397,,true,,,,
2364430,2441402,penalty,10,to invoice,10.64,10.64,1.4896,12.13,10.64,12.13,10.64,0,47,1,1,manual,0,0,1,0,0,10.64,2,74,1,3109,,,sale,0,,,,2,2025-06-23 09:56:53.355350,2,2025-06-23 09:56:53.355350,,true,,,,
2364429,2441401,penalty,10,to invoice,40.13,40.13,5.618200000000001,45.75,40.13,45.75,40.13,0,47,1,1,manual,0,0,1,0,0,40.13,2,74,1,3109,,,sale,0,,,,2,2025-06-23 09:56:52.058273,2,2025-06-23 09:56:52.058273,,true,,,,
2364428,2441400,order_fees,10,to invoice,100.32,100.32,14.0448,114.36,100.32,114.36,100.32,0,46,1,1,manual,0,0,1,0,0,100.32,2,74,1,3109,,,sale,0,,,,2,2025-06-23 09:56:49.740989,2,2025-06-23 09:56:49.740989,,true,,,,
2364427,2441399,penalty,10,to invoice,16.25,16.25,2.2750000000000004,18.53,16.25,18.53,16.25,0,47,1,1,manual,0,0,1,0,0,16.25,2,74,1,179778,,,sale,0,,,,2,2025-06-23 09:56:45.212812,2,2025-06-23 09:56:45.212812,,true,,,,
2364426,2441398,penalty,10,to invoice,1.2,1.2,0.168,1.37,1.2,1.37,1.2,0,47,1,1,manual,0,0,1,0,0,1.2,2,74,1,179778,,,sale,0,,,,2,2025-06-23 09:56:44.057465,2,2025-06-23 09:56:44.057465,,true,,,,
2364425,2441397,order_fees,10,to invoice,48.74,48.74,6.823600000000001,55.56,48.74,55.56,48.74,0,46,1,1,manual,0,0,1,0,0,48.74,2,74,1,179778,,,sale,0,,,,2,2025-06-23 09:56:42.904906,2,2025-06-23 09:56:42.904906,,true,,,,
2364424,2441396,order_fees,10,to invoice,88.36,88.36,12.370400000000002,100.73,88.36,100.73,88.36,0,46,1,1,manual,0,0,1,0,0,88.36,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:56:06.714471,2,2025-06-23 09:56:06.714471,,true,,,,
2364423,2441395,Order Fees Installment,10,to invoice,28.41,28.41,3.9774000000000003,32.39,28.41,32.39,28.41,0,106,1,1,manual,0,0,1,0,0,28.41,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:55:54.542876,2,2025-06-23 09:55:54.542876,,true,,,,
2364422,2441394,front_margin,10,to invoice,7.89,7.89,1.1046,8.99,7.89,8.99,7.89,0,120,1,1,manual,0,0,1,0,0,7.89,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:55:49.281929,2,2025-06-23 09:55:49.281929,,true,,,,
2364421,2441393,penalty,10,to invoice,12.62,12.62,1.7668000000000001,14.39,12.62,14.39,12.62,0,47,1,1,manual,0,0,1,0,0,12.62,2,74,1,3315,,,sale,0,,,,2,2025-06-23 09:55:35.813130,2,2025-06-23 09:55:35.813130,,true,,,,
2364420,2441392,penalty,10,to invoice,5.05,5.05,0.7070000000000001,5.76,5.05,5.76,5.05,0,47,1,1,manual,0,0,1,0,0,5.05,2,74,1,3315,,,sale,0,,,,2,2025-06-23 09:55:34.724585,2,2025-06-23 09:55:34.724585,,true,,,,
2364419,2441391,order_fees,10,to invoice,53.64,53.64,7.509600000000001,61.15,53.64,61.15,53.64,0,46,1,1,manual,0,0,1,0,0,53.64,2,74,1,3114,,,sale,0,,,,2,2025-06-23 09:55:01.301281,2,2025-06-23 09:55:01.301281,,true,,,,
2364418,2441390,order_fees,10,to invoice,28.53,28.53,3.9942,32.52,28.53,32.52,28.53,0,46,1,1,manual,0,0,1,0,0,28.53,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:54:59.229897,2,2025-06-23 09:54:59.229897,,true,,,,
2364417,2441389,front_margin,10,to invoice,5.26,5.26,0.7364,6,5.26,6,5.26,0,120,1,1,manual,0,0,1,0,0,5.26,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:54:57.006064,2,2025-06-23 09:54:57.006064,,true,,,,
2364416,2441388,Order Fees Installment,10,to invoice,112.58,112.58,15.7612,128.34,112.58,128.34,112.58,0,106,1,1,manual,0,0,1,0,0,112.58,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:54:26.253282,2,2025-06-23 09:54:26.253282,,true,,,,
2364415,2441387,order_fees,10,to invoice,88.04,88.04,12.325600000000001,100.37,88.04,100.37,88.04,0,46,1,1,manual,0,0,1,0,0,88.04,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:54:22.659231,2,2025-06-23 09:54:22.659231,,true,,,,
2364414,2441386,order_fees,10,to invoice,67.99,67.99,9.518600000000001,77.51,67.99,77.51,67.99,0,46,1,1,manual,0,0,1,0,0,67.99,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:54:19.340065,2,2025-06-23 09:54:19.340065,,true,,,,
2364413,2441385,order_fees,10,to invoice,88.83,88.83,12.436200000000001,101.27,88.83,101.27,88.83,0,46,1,1,manual,0,0,1,0,0,88.83,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:54:17.015344,2,2025-06-23 09:54:17.015344,,true,,,,
2364412,2441384,order_fees,10,to invoice,127.08,127.08,17.7912,144.87,127.08,144.87,127.08,0,46,1,1,manual,0,0,1,0,0,127.08,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:54:15.113985,2,2025-06-23 09:54:15.113985,,true,,,,
2364411,2441383,order_fees,10,to invoice,165.14,165.14,23.119600000000002,188.26,165.14,188.26,165.14,0,46,1,1,manual,0,0,1,0,0,165.14,2,74,1,5306,,,sale,0,,,,2,2025-06-23 09:54:09.580309,2,2025-06-23 09:54:09.580309,,true,,,,
2364410,2441382,order_fees,10,to invoice,45.6,45.6,6.384,51.98,45.6,51.98,45.6,0,46,1,1,manual,0,0,1,0,0,45.6,2,74,1,154554,,,sale,0,,,,2,2025-06-23 09:54:05.789029,2,2025-06-23 09:54:05.789029,,true,,,,
2364409,2441381,Order Fees Installment,10,to invoice,61.61,61.61,8.6254,70.24,61.61,70.24,61.61,0,106,1,1,manual,0,0,1,0,0,61.61,2,74,1,3215,,,sale,0,,,,2,2025-06-23 09:53:51.073584,2,2025-06-23 09:53:51.073584,,true,,,,
